layer,concept,classical,country,jazz,pop,rock,traditional
classifier.1,high_note_density,-0.1933002481161562,-0.22920277296360492,-0.3086363636363637,0.33933764139554423,-0.15322828591843463,0.09514285811356138
classifier.1,high_pitch_register,0.438296112494591,0.005849220103986252,-0.31071428571428583,-0.2793618739373464,-0.1207916986778505,0.29085714401517593
classifier.1,high_polyphony,-0.026633581435315523,-0.0005632582322357971,0.18175324675324678,-0.025363489470304812,-0.2393543427931768,-0.042857142158917116
classifier.1,irregular_ioi,0.4531017369776348,-0.03357885615251299,-0.2497402597402597,-0.2308966073940278,0.042621060775207775,0.13314285819871086
classifier.1,long_notes,0.45202646817522085,-0.09562391681109189,-0.035454545454545516,-0.2794830371338351,-0.28647194463962966,0.22057142979758126
classifier.1,low_note_density,0.39809760134805816,0.0713604852686307,-0.3498701298701299,-0.2397415185410391,0.09477325138177073,0.12257142949104316
classifier.1,low_pitch_register,0.27196029782344533,0.1868284228769499,-0.1927922077922078,-0.2181744749367429,0.024019984649544357,-0.18399999935286382
classifier.1,regular_ioi,-0.2473945409176614,-0.21221837088388218,-0.28,0.04010500814013418,0.13293620293457442,0.17571428731509608
classifier.1,short_notes,-0.17353184446261088,-0.1923310225303293,-0.3255844155844156,0.045920840141653874,0.24423520375131913,-0.1839999995657376
classifier.1,strong_velocity,0.04251447486929216,-0.012521663778162995,-0.1146103896103896,0.06340872382019946,0.19223674097535792,0.06857142938886374
classifier.1,wide_pitch_range,-0.2122415218856633,0.14839688041594457,-0.2216883116883117,0.18271405501396476,0.051306687197508305,0.023714286633900294
classifier.2,high_note_density,-0.4,-0.09999999999999998,-0.5,0.30000000000000004,-0.3,-0.09999999999999998
classifier.2,high_pitch_register,0.5,-0.3,-0.2,-0.5,0.0,0.30000000000000004
classifier.2,high_polyphony,0.5,0.4,0.5,0.0,-0.4,0.30000000000000004
classifier.2,irregular_ioi,0.5,0.4,0.5,-0.09999999999999998,0.5,0.5
classifier.2,long_notes,0.4,-0.2,-0.2,-0.09999999999999998,-0.3,0.4
classifier.2,low_note_density,0.5,0.4,0.5,-0.2,0.5,0.5
classifier.2,low_pitch_register,0.30000000000000004,0.09999999999999998,-0.4,-0.4,0.09999999999999998,-0.5
classifier.2,regular_ioi,-0.3,-0.4,-0.3,0.4,-0.5,-0.3
classifier.2,short_notes,0.19999999999999996,0.19999999999999996,0.0,0.30000000000000004,0.19999999999999996,0.09999999999999998
classifier.2,strong_velocity,-0.4,-0.4,-0.5,-0.5,-0.09999999999999998,-0.4
classifier.2,wide_pitch_range,0.0,-0.4,-0.2,0.30000000000000004,0.0,-0.2
