concept,random_control,layer,target_class,target_class_idx,sign_count,magnitude,n_examples,cav_accuracy,n_concept,n_random
high_note_density,random_control_00,classifier.1,classical,0,0.3945409429403649,-0.0017368321682921957,1209,0.9166666865348816,30,30
high_note_density,random_control_00,classifier.1,country,1,0.18587521663778164,-0.017836407353162147,2308,0.9166666865348816,30,30
high_note_density,random_control_00,classifier.1,jazz,2,0.14285714285714285,-0.024279478114920778,1540,0.9166666865348816,30,30
high_note_density,random_control_00,classifier.1,pop,3,0.7810985460420032,0.011107800390739867,2476,0.9166666865348816,30,30
high_note_density,random_control_00,classifier.1,rock,4,0.33282090700607314,-0.009619657634231308,2602,0.9166666865348816,30,30
high_note_density,random_control_00,classifier.1,traditional,5,0.6114285734721593,0.01122325563537223,350,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,classical,0,0.21918941274396242,-0.01370881598811008,1209,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,country,1,0.2850953206239168,-0.01035373467157887,2308,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,jazz,2,0.4720779220779221,-0.0037018911374805423,1540,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,pop,3,0.7504038773176166,0.010250268569471907,2476,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,rock,4,0.3070714835200651,-0.008800549507799696,2602,0.9166666865348816,30,30
high_note_density,random_control_01,classifier.1,traditional,5,0.7742857159887041,0.019570256311978614,350,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,classical,0,0.25392886684441784,-0.01107306258076597,1209,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,country,1,0.17417677642980936,-0.017977814255459832,2308,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,jazz,2,0.17272727272727273,-0.02122457560587239,1540,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,pop,3,0.8000807754442649,0.01311134986326652,2476,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,rock,4,0.42390468872390646,-0.004495220337754587,2602,0.9166666865348816,30,30
high_note_density,random_control_02,classifier.1,traditional,5,0.6657142867360796,0.00876854628856693,350,0.9166666865348816,30,30
high_note_density,random_control_03,classifier.1,classical,0,0.6071133168153865,0.005184930172745782,1209,0.8333333134651184,30,30
high_note_density,random_control_03,classifier.1,country,1,0.4289428076256499,-0.004378478427335258,2308,0.8333333134651184,30,30
high_note_density,random_control_03,classifier.1,jazz,2,0.18506493506493507,-0.02072360271757299,1540,0.8333333134651184,30,30
high_note_density,random_control_03,classifier.1,pop,3,0.7964458805486343,0.010370174616948372,2476,0.8333333134651184,30,30
high_note_density,random_control_03,classifier.1,rock,4,0.3954650269023828,-0.0066725352932401946,2602,0.8333333134651184,30,30
high_note_density,random_control_03,classifier.1,traditional,5,0.5028571428571429,0.00034667937750262873,350,0.8333333134651184,30,30
high_note_density,random_control_04,classifier.1,classical,0,0.21091811415008319,-0.020459537308838763,1209,1.0,30,30
high_note_density,random_control_04,classifier.1,country,1,0.32495667244367415,-0.008005673291752408,2308,1.0,30,30
high_note_density,random_control_04,classifier.1,jazz,2,0.17532467532467533,-0.023284869002444402,1540,1.0,30,30
high_note_density,random_control_04,classifier.1,pop,3,0.9006462035541195,0.022654080441483388,2476,1.0,30,30
high_note_density,random_control_04,classifier.1,rock,4,0.20791698693885519,-0.017820722116393642,2602,1.0,30,30
high_note_density,random_control_04,classifier.1,traditional,5,0.6371428571428571,0.011130411039505687,350,1.0,30,30
high_note_density,random_control_05,classifier.1,classical,0,0.25475599669764315,-0.01482490362326797,1209,0.75,30,30
high_note_density,random_control_05,classifier.1,country,1,0.25736568457538994,-0.010156440128535161,2308,0.75,30,30
high_note_density,random_control_05,classifier.1,jazz,2,0.12012987012987013,-0.03206558348490046,1540,0.75,30,30
high_note_density,random_control_05,classifier.1,pop,3,0.8420840065583274,0.016148282843905234,2476,0.75,30,30
high_note_density,random_control_05,classifier.1,rock,4,0.4000768639622607,-0.0055082999468694435,2602,0.75,30,30
high_note_density,random_control_05,classifier.1,traditional,5,0.7171428588458469,0.023723113824214253,350,0.75,30,30
high_note_density,random_control_06,classifier.1,classical,0,0.2737799834635654,-0.010744925713161973,1209,0.8333333134651184,30,30
high_note_density,random_control_06,classifier.1,country,1,0.2608318890814558,-0.012619576093287205,2308,0.8333333134651184,30,30
high_note_density,random_control_06,classifier.1,jazz,2,0.13766233766233765,-0.025249712807791574,1540,0.8333333134651184,30,30
high_note_density,random_control_06,classifier.1,pop,3,0.928513731825525,0.022304455697030937,2476,0.8333333134651184,30,30
high_note_density,random_control_06,classifier.1,rock,4,0.34396617990745937,-0.0074425826823986,2602,0.8333333134651184,30,30
high_note_density,random_control_06,classifier.1,traditional,5,0.5085714295932224,0.0022044857644609043,350,0.8333333134651184,30,30
high_note_density,random_control_07,classifier.1,classical,0,0.1869313482278334,-0.020467431895354743,1209,0.9166666865348816,30,30
high_note_density,random_control_07,classifier.1,country,1,0.317157712305026,-0.009120659817145747,2308,0.9166666865348816,30,30
high_note_density,random_control_07,classifier.1,jazz,2,0.2590909090909091,-0.013828830145202673,1540,0.9166666865348816,30,30
high_note_density,random_control_07,classifier.1,pop,3,0.8982229402261712,0.02200334051530658,2476,0.9166666865348816,30,30
high_note_density,random_control_07,classifier.1,rock,4,0.327440430483939,-0.00824787175364443,2602,0.9166666865348816,30,30
high_note_density,random_control_07,classifier.1,traditional,5,0.6800000017029898,0.009591490541185651,350,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,classical,0,0.33829611256361203,-0.006988346385650146,1209,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,country,1,0.2673310225303293,-0.011156828310364854,2308,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,jazz,2,0.07077922077922078,-0.036290277830966104,1540,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,pop,3,0.9046849758636586,0.020632829592354077,2476,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,rock,4,0.5265180629826252,-0.002436574194673377,2602,0.9166666865348816,30,30
high_note_density,random_control_08,classifier.1,traditional,5,0.39428571479661123,-0.009782513757901533,350,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,classical,0,0.327543424391569,-0.00623331346677738,1209,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,country,1,0.20623916811091855,-0.016754695639640507,2308,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,jazz,2,0.17792207792207793,-0.020746265085680143,1540,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,pop,3,0.7911954765751211,0.014167686776891472,2476,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,rock,4,0.20253651038808698,-0.01908538657470358,2602,0.9166666865348816,30,30
high_note_density,random_control_09,classifier.1,traditional,5,0.46,-0.00552569336257875,350,0.9166666865348816,30,30
high_pitch_register,random_control_00,classifier.1,classical,0,0.9148056244830438,0.03555139052821054,1209,0.8333333134651184,30,30
high_pitch_register,random_control_00,classifier.1,country,1,0.4276429809358752,-0.003960355689371428,2308,0.8333333134651184,30,30
high_pitch_register,random_control_00,classifier.1,jazz,2,0.1279220779220779,-0.027992726707613314,1540,0.8333333134651184,30,30
high_pitch_register,random_control_00,classifier.1,pop,3,0.21284329573441785,-0.016694496340616358,2476,0.8333333134651184,30,30
high_pitch_register,random_control_00,classifier.1,rock,4,0.4385088394459718,-0.003316768624932204,2602,0.8333333134651184,30,30
high_pitch_register,random_control_00,classifier.1,traditional,5,0.7771428578240531,0.02381243074578898,350,0.8333333134651184,30,30
high_pitch_register,random_control_01,classifier.1,classical,0,0.9793217535153019,0.05612518595234237,1209,0.9166666865348816,30,30
high_pitch_register,random_control_01,classifier.1,country,1,0.45667244367417675,-0.005532725415946319,2308,0.9166666865348816,30,30
high_pitch_register,random_control_01,classifier.1,jazz,2,0.35974025974025975,-0.009562420289866723,1540,0.9166666865348816,30,30
high_pitch_register,random_control_01,classifier.1,pop,3,0.19830371576672803,-0.017863182699298773,2476,0.9166666865348816,30,30
high_pitch_register,random_control_01,classifier.1,rock,4,0.23789392775361304,-0.014511334365498644,2602,0.9166666865348816,30,30
high_pitch_register,random_control_01,classifier.1,traditional,5,0.9400000013623919,0.04127981471163886,350,0.9166666865348816,30,30
high_pitch_register,random_control_02,classifier.1,classical,0,0.8767576509511993,0.027656864605973434,1209,0.75,30,30
high_pitch_register,random_control_02,classifier.1,country,1,0.4380415944540728,-0.0061530327000509965,2308,0.75,30,30
high_pitch_register,random_control_02,classifier.1,jazz,2,0.3246753246753247,-0.011416666427409494,1540,0.75,30,30
high_pitch_register,random_control_02,classifier.1,pop,3,0.5476575122126085,0.0013313828817055665,2476,0.75,30,30
high_pitch_register,random_control_02,classifier.1,rock,4,0.1256725595810155,-0.020487646960999122,2602,0.75,30,30
high_pitch_register,random_control_02,classifier.1,traditional,5,0.6942857149669103,0.012303243215594973,350,0.75,30,30
high_pitch_register,random_control_03,classifier.1,classical,0,0.9917287014061208,0.05299118034560095,1209,1.0,30,30
high_pitch_register,random_control_03,classifier.1,country,1,0.4935008665511265,0.000625280844954777,2308,1.0,30,30
high_pitch_register,random_control_03,classifier.1,jazz,2,0.09805194805194806,-0.031536253154664844,1540,1.0,30,30
high_pitch_register,random_control_03,classifier.1,pop,3,0.23424878836833601,-0.014879006769068791,2476,1.0,30,30
high_pitch_register,random_control_03,classifier.1,rock,4,0.2955418908531899,-0.011826022648732884,2602,1.0,30,30
high_pitch_register,random_control_03,classifier.1,traditional,5,0.837142858845847,0.036640052646398545,350,1.0,30,30
high_pitch_register,random_control_04,classifier.1,classical,0,0.9338296112489661,0.03007505019715347,1209,0.8333333134651184,30,30
high_pitch_register,random_control_04,classifier.1,country,1,0.8093587521663779,0.01658850728067694,2308,0.8333333134651184,30,30
high_pitch_register,random_control_04,classifier.1,jazz,2,0.3220779220779221,-0.009801641498486717,1540,0.8333333134651184,30,30
high_pitch_register,random_control_04,classifier.1,pop,3,0.14862681747156892,-0.016418994129041093,2476,0.8333333134651184,30,30
high_pitch_register,random_control_04,classifier.1,rock,4,0.2275172943889316,-0.013109309278102126,2602,0.8333333134651184,30,30
high_pitch_register,random_control_04,classifier.1,traditional,5,0.8314285721097674,0.02926237032881805,350,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,classical,0,0.9214226633581473,0.026972212861819736,1209,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,country,1,0.5589254766031195,0.006318999336954962,2308,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,jazz,2,0.15,-0.03061520637242825,1540,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,pop,3,0.22172859455541571,-0.014947708162008175,2476,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,rock,4,0.5019215987701768,0.0009295629291973442,2602,0.8333333134651184,30,30
high_pitch_register,random_control_05,classifier.1,traditional,5,0.877142858845847,0.04593675924198968,350,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,classical,0,0.8933002481389578,0.029331518468085748,1209,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,country,1,0.5385615251299827,0.0021689049353818225,2308,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,jazz,2,0.3422077922077922,-0.00873780706292623,1540,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,pop,3,0.16397415190598114,-0.015799915931083756,2476,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,rock,4,0.3220599538816295,-0.009106116800309145,2602,0.8333333134651184,30,30
high_pitch_register,random_control_06,classifier.1,traditional,5,0.6228571449007306,0.008650446137679475,350,0.8333333134651184,30,30
high_pitch_register,random_control_07,classifier.1,classical,0,0.9040529363110008,0.02271617187619998,1209,0.75,30,30
high_pitch_register,random_control_07,classifier.1,country,1,0.6122183708838822,0.005946388129190101,2308,0.75,30,30
high_pitch_register,random_control_07,classifier.1,jazz,2,0.11558441558441558,-0.024443262205882506,1540,0.75,30,30
high_pitch_register,random_control_07,classifier.1,pop,3,0.13126009695460608,-0.01760839178002709,2476,0.75,30,30
high_pitch_register,random_control_07,classifier.1,rock,4,0.45695618754803996,-0.0025681890207246163,2602,0.75,30,30
high_pitch_register,random_control_07,classifier.1,traditional,5,0.8657142870766776,0.029238626062870025,350,0.75,30,30
high_pitch_register,random_control_08,classifier.1,classical,0,0.9718775848301113,0.043912022671145384,1209,0.8333333134651184,30,30
high_pitch_register,random_control_08,classifier.1,country,1,0.4883015597920277,0.0007807536537321591,2308,0.8333333134651184,30,30
high_pitch_register,random_control_08,classifier.1,jazz,2,0.033766233766233764,-0.0481442724826274,1540,0.8333333134651184,30,30
high_pitch_register,random_control_08,classifier.1,pop,3,0.2116316640704437,-0.016144547003632794,2476,0.8333333134651184,30,30
high_pitch_register,random_control_08,classifier.1,rock,4,0.3681783243658724,-0.009780528358499492,2602,0.8333333134651184,30,30
high_pitch_register,random_control_08,classifier.1,traditional,5,0.8314285721097674,0.03360981570822852,350,0.8333333134651184,30,30
high_pitch_register,random_control_09,classifier.1,classical,0,0.9958643507030603,0.06109343127735002,1209,0.9166666865348816,30,30
high_pitch_register,random_control_09,classifier.1,country,1,0.23526863084922012,-0.019207852619798592,2308,0.9166666865348816,30,30
high_pitch_register,random_control_09,classifier.1,jazz,2,0.01883116883116883,-0.05520682152989623,1540,0.9166666865348816,30,30
high_pitch_register,random_control_09,classifier.1,pop,3,0.13610662358642972,-0.022315509587237447,2476,0.9166666865348816,30,30
high_pitch_register,random_control_09,classifier.1,rock,4,0.817832436633055,0.02236810315122612,2602,0.9166666865348816,30,30
high_pitch_register,random_control_09,classifier.1,traditional,5,0.6314285721097673,0.020618770739861896,350,0.9166666865348816,30,30
high_polyphony,random_control_00,classifier.1,classical,0,0.44334160464425243,0.0014671240655922564,1209,0.5833333134651184,30,30
high_polyphony,random_control_00,classifier.1,country,1,0.23960138648180243,-0.013144897972516056,2308,0.5833333134651184,30,30
high_polyphony,random_control_00,classifier.1,jazz,2,0.6766233766233766,0.008513342786290042,1540,0.5833333134651184,30,30
high_polyphony,random_control_00,classifier.1,pop,3,0.17447495966042378,-0.014475531233640114,2476,0.5833333134651184,30,30
high_polyphony,random_control_00,classifier.1,rock,4,0.28132205995960846,-0.011187985848684114,2602,0.5833333134651184,30,30
high_polyphony,random_control_00,classifier.1,traditional,5,0.7142857153075082,0.02110259948032243,350,0.5833333134651184,30,30
high_polyphony,random_control_01,classifier.1,classical,0,0.6989247312567469,0.006951371229306091,1209,0.8333333134651184,30,30
